bid_count_1,bid_weight_count_1,bid_val_0,bid_weight_val_2,bid_val_2,ask_count_2,ask_weight_count_1,bid_count_2,ask_val_2,ask_val_1,ask_val_0,bid_weight_val_1,bid_val_1,bid_count_0,datetime,ask_weight_val_2,ask_count_0,bid_weight_count_2,ask_weight_val_1,ask_weight_count_2,ask_count_1
0.036,1.7870000000000001,0.056724,0.056648652475828065,0.056722,8.103,9.262999999999998,0.02,0.056743,0.056736,0.056735,0.05672239563514269,0.056723,1.57,2018-08-08 19:20:42.151133,0.056802856384860274,0.3,86.981,0.05674589107200692,36.751000000000005,0.06
0.625,0.8420000000000001,0.056725,0.05664782571249246,0.056722,0.2,10.411999999999999,0.02,0.05675,0.056743,0.056733,0.05672068052256531,0.056724,0.036,2018-08-08 19:20:46.241374,0.05682162303473492,0.059,86.03599999999999,0.05675477333845563,60.17,7.967
0.02,1.036,0.056726,0.056647635167571465,0.056713,0.2,17.444999999999997,0.141,0.05675,0.056743,0.056733,0.056707599420849415,0.056722,0.625,2018-08-08 19:20:49.697854,0.05681049782248191,7.092,89.15599999999999,0.056745995356835784,64.523,7.967
0.141,0.65,0.056722,0.05664710149098749,0.056662,0.6,17.546999999999997,0.02,0.056791,0.05675,0.056743,0.05667367538461538,0.056713,0.047,2018-08-08 19:20:53.194578,0.056820355661114784,11.196,88.59899999999999,0.05676530084914801,66.524,0.2
0.356,0.819,0.056713,0.056647119299824626,0.056662,16.005,39.991,0.02,0.056741,0.05674,0.056739,0.056659539682539686,0.056663,0.001,2018-08-08 19:20:56.550145,0.056750178789016864,14.297,86.66399999999999,0.056740351154009654,47.928000000000004,5.136
3.0,17.907,0.056666,0.056650277109371976,0.056662,0.856,15.297,0.02,0.056738,0.056736,0.056734,0.05666559401351427,0.056665,14.445,2018-08-08 19:21:00.613208,0.056786917100957464,0.205,102.73199999999999,0.056737745767143875,41.254999999999995,10.807
3.016,25.267999999999997,0.056668,0.05665150325599958,0.056666,0.07,10.033,13.766,0.056739,0.056729,0.056728,0.05666639092923857,0.056667,5.136,2018-08-08 19:21:04.192472,0.05679635081578167,0.205,110.25799999999998,0.056733973686833444,33.71,6.329
6.598,16.573,0.05667,0.0566506012786895,0.056668,0.07,14.954,1.819,0.056739,0.056723,0.056721,0.056668467628069756,0.056669,5.136,2018-08-08 19:21:08.266791,0.05678500911243939,6.319,101.823,0.056726909455664026,44.334999999999994,5.136
0.1,1.038,0.056662,0.05664507258587168,0.056655,6.331,24.138,0.23,0.056713,0.056712,0.056711,0.05665446820809249,0.056656,0.02,2018-08-08 19:21:12.378038,0.05672259735899008,6.266,1.543,0.05671390757312122,30.973,0.535
0.662,0.8380000000000002,0.05667,0.056640693426042985,0.05665,18.511,57.452,0.026,0.056708,0.056707,0.056706,0.05665326730310261,0.056654,0.039,2018-08-08 19:21:15.751020,0.05671817348515872,5.136,1.582,0.056713932047622366,75.701,11.62
0.039,8.715,0.056671,0.05666612345418031,0.056654,21.222,33.016,0.662,0.056725,0.056706,0.056705,0.05666944073436603,0.05667,7.918,2018-08-08 19:21:19.215950,0.056736375014882226,5.0,9.461,0.056719141385994674,58.795,5.136
1.415,22.505000000000003,0.056673,0.05667044145046142,0.056671,3.229,11.692,13.862,0.056743,0.056727,0.056705,0.056671141124194614,0.056672,6.527,2018-08-08 19:21:22.632590,0.05677890116219008,4.925,22.972000000000005,0.05672733475880944,77.44,1.588
6.527,23.507000000000005,0.056677,0.05667316663935096,0.056673,3.229,27.5,13.054,0.056743,0.056727,0.056705,0.056674037393116924,0.056676,2.116,2018-08-08 19:21:26.080739,0.056782614149710656,2.483,24.406000000000006,0.056751059563636366,74.998,1.588
6.527,18.046000000000003,0.056682,0.05667841214785002,0.056679,3.229,25.599,3.0,0.056743,0.056727,0.056705,0.056679579796076685,0.056681,5.785,2018-08-08 19:21:29.822387,0.05678463262514194,0.582,18.884000000000004,0.0567544799796867,73.097,1.588
2.115,13.756,0.056691,0.056683808197044334,0.056689,0.2,16.395,5.136,0.05675,0.056727,0.056726,0.05668749571096249,0.05669,0.386,2018-08-08 19:21:33.247763,0.0568089597534045,0.037,25.375,0.056785979139981714,54.339999999999996,1.558
4.055,25.139,0.0567,0.0566956177772645,0.056697,0.2,16.395,12.84,0.05675,0.056727,0.056726,0.056697029515891645,0.056699,2.038,2018-08-08 19:21:36.711078,0.05680891480304235,0.037,25.977,0.056785979139981714,52.854,1.558
9.135,25.159,0.056706,0.05669550659404652,0.056701,1.586,17.435000000000002,5.671,0.056786,0.05675,0.056749,0.05670152005246632,0.056705,2.114,2018-08-08 19:21:40.125729,0.05681925538053052,0.512,29.193,0.05679208913105821,39.169000000000004,0.197
0.386,7.343999999999999,0.056721,0.056693094903339195,0.056713,1.586,44.172,6.475,0.056786,0.05675,0.056749,0.05671254479847494,0.05672,0.114,2018-08-08 19:21:43.699281,0.05679637933521578,6.843,11.38,0.05678378943674727,65.16399999999999,0.197
0.356,1.084,0.05672,0.05664640229578217,0.05667,6.42,19.68,0.039,0.056746,0.056744,0.056743,0.056660123616236166,0.056671,0.001,2018-08-08 19:21:47.152176,0.05677654481486542,0.512,3.746,0.056747165752032515,58.552,0.353
0.356,1.084,0.05672,0.05664640229578217,0.05667,0.197,41.009,0.039,0.05675,0.056742,0.056741,0.056660123616236166,0.056671,0.001,2018-08-08 19:21:50.593591,0.05677695980077066,0.346,3.746,0.05676842532127094,59.429,17.334
0.039,0.798,0.05672,0.056634419338159256,0.056654,17.334,35.348,0.662,0.056742,0.056741,0.05674,0.056654032581453635,0.05667,0.001,2018-08-08 19:21:54.108077,0.05676978877455568,8.471,1.934,0.05674639311983705,74.82999999999998,0.346
0.026,0.518,0.056654,0.056594364269880196,0.056646,0.6,53.163,0.07,0.056713,0.056712,0.056711,0.05665006563706563,0.05665,0.349,2018-08-08 19:21:57.686655,0.056741019506365176,1.317,84.808,0.056717029418956795,93.713,12.198
0.026,0.518,0.056654,0.05661841825813223,0.056646,5.136,45.03,0.07,0.05671,0.056709,0.056707,0.05665006563706563,0.05665,0.349,2018-08-08 19:22:01.124146,0.05672199912671846,7.331,4.764999999999999,0.05671182718187875,75.577,0.317
0.349,7.062,0.056655,0.05664162858253182,0.05665,20.048,47.269,0.026,0.056714,0.056699,0.056698,0.05665475587652222,0.056654,6.576,2018-08-08 19:22:04.583709,0.05674223758854052,6.621,10.293,0.05671554993759124,95.013,1.0
0.349,6.8950000000000005,0.056655,0.05665098809040465,0.05665,19.0,46.566,0.026,0.056724,0.056714,0.056697,0.05665474996374183,0.056654,6.409,2018-08-08 19:22:08.028509,0.05674405802332037,5.33,7.388999999999999,0.05671676721212902,93.65200000000002,20.048
0.349,19.853,0.056656,0.056654494913255034,0.05665,20.048,45.961999999999996,0.026,0.056714,0.056696,0.056695,0.05665588868181132,0.056654,19.367,2018-08-08 19:22:11.814447,0.056743245723591976,4.801,20.347,0.05671632363691746,92.718,0.525
3.0,24.283,0.056659,0.056657568730839984,0.056656,1.588,27.771,8.496,0.056725,0.056724,0.056695,0.056657745336243466,0.056658,12.412,2018-08-08 19:22:15.467449,0.05675480855335003,6.386,24.465,0.05671781066580245,62.268,19.0
2.116,25.275000000000002,0.056661,0.05665951141782655,0.056659,1.588,23.402,6.955,0.056725,0.056724,0.056695,0.0566597050049456,0.05666,11.663,2018-08-08 19:22:19.604588,0.056759342372061684,2.017,25.793000000000003,0.05672212054525254,57.899,19.0
5.636,19.846,0.056668,0.056663518904585576,0.056665,1.588,19.392000000000003,6.955,0.056725,0.056724,0.056722,0.056664398216265253,0.056667,2.115,2018-08-08 19:22:23.077081,0.05677076556178866,1.0,21.873,0.05672507827970297,74.156,16.007
0.356,7.2620000000000005,0.056675,0.05666363242978444,0.056671,1.75,14.719,0.749,0.05676,0.05675,0.056743,0.05666826053428807,0.056673,0.33,2018-08-08 19:22:26.567807,0.05678530843872835,3.172,12.248000000000001,0.05675709939533936,60.803,0.197
